"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays",Leads,"Reporting starts","Reporting ends"
"2105 | MOD - GSM | Awareness - Chonburi",55-64,male,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",1074.69,92314,143197,,229,,54,1,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",35-44,male,"เหรียญเก่า 5 เหรียญที่เก็บไว้",953.97,7126,25011,290,1153,1,149,5,1,1839,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",35-44,male,"ขายทอง เงิน นาก ต้องได้ราคาตามจริง",932.73,5726,24450,191,186,1,30,2,2,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",35-44,male,"มีเงิน ทอง นาก เก่า ไม่ได้ใช้ อย่าทิ้งไว้ให้เสียเปล่า",924.16,8933,15604,847,10695,,1073,16,8,14990,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",35-44,male,ขายทองแล้วได้ราคาไม่สูง,897.23,5949,24054,222,430,,63,3,4,521,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",45-54,male,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",847.99,81316,116036,,136,,29,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",25-34,male,"ขายทอง เงิน นาก ต้องได้ราคาตามจริง",822.08,4986,18621,149,176,1,43,4,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",25-34,male,"เหรียญเก่า 5 เหรียญที่เก็บไว้",818.75,6116,19313,214,848,,106,4,1,1362,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",45-54,male,"มีเงิน ทอง นาก เก่า ไม่ได้ใช้ อย่าทิ้งไว้ให้เสียเปล่า",809.66,7334,12978,700,9567,4,992,12,12,12498,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",25-34,male,ขายทองแล้วได้ราคาไม่สูง,781.86,5092,18377,172,395,,60,2,,520,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",45-54,male,"เหรียญเก่า 5 เหรียญที่เก็บไว้",639.79,4389,13956,200,993,,118,3,1,1500,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",25-34,male,"มีเงิน ทอง นาก เก่า ไม่ได้ใช้ อย่าทิ้งไว้ให้เสียเปล่า",638.37,6700,11172,571,7402,3,763,13,7,10674,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",45-54,male,"ขายทอง เงิน นาก ต้องได้ราคาตามจริง",606.21,3176,13483,123,133,,19,1,1,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",65+,male,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",566.32,46877,75484,,123,,38,,1,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",45-54,male,ขายทองแล้วได้ราคาไม่สูง,549.31,3231,12764,132,369,1,44,2,,494,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",45-54,female,"มีเงิน ทอง นาก เก่า ไม่ได้ใช้ อย่าทิ้งไว้ให้เสียเปล่า",527.58,4981,8182,496,6170,6,685,6,11,7850,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",35-44,male,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",510.78,57368,72542,,91,,25,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",55-64,female,"มีเงิน ทอง นาก เก่า ไม่ได้ใช้ อย่าทิ้งไว้ให้เสียเปล่า",509.51,4701,7823,488,6175,3,589,3,13,7602,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",25-34,female,"ขายทอง เงิน นาก ต้องได้ราคาตามจริง",503.83,2573,8540,103,70,,25,,1,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",35-44,female,"เหรียญเก่า 5 เหรียญที่เก็บไว้",495.2,2839,9417,118,280,,37,1,1,395,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",35-44,female,"ขายทอง เงิน นาก ต้องได้ราคาตามจริง",491.23,2455,9165,73,74,2,13,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",25-34,female,ขายทองแล้วได้ราคาไม่สูง,483.01,2709,8560,101,367,1,58,1,3,505,,2026-08-01,2026-08-31
