"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays",Leads,"Reporting starts","Reporting ends"
"2105 | MOD - GSM | Lead Gen B2B | 2026",35-44,male,"ของล็อตใหญ่แค่ไหนก็รับ  - 10 July 2026",1121.44,7541,14726,1,169,3,66,4,,1,9,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",25-34,male,"ของล็อตใหญ่แค่ไหนก็รับ  - 10 July 2026",898.85,6803,13234,1,136,,61,2,,,9,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",35-44,male,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้",788.76,5698,8742,377,3862,2,553,11,10,8334,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",45-54,male,"ของล็อตใหญ่แค่ไหนก็รับ  - 10 July 2026",708.37,4308,8341,,114,1,35,1,,,16,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",45-54,male,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้",687.72,4774,6949,309,3524,3,464,6,4,6672,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",55-64,female,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้",685.71,4404,6358,290,3707,1,450,4,16,6110,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",25-34,male,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้",665.84,4478,7320,293,3154,,479,11,10,6939,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",45-54,female,ลูกค้าตกใจกับราคา,664.23,4822,6868,214,3961,,281,8,9,6390,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",55-64,female,ลูกค้าตกใจกับราคา,657.87,4493,6833,228,4502,1,318,18,7,6500,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",45-54,male,"ของชิ้นเดียว ได้ราคาสองต่อ",629.07,5907,9699,226,270,5,202,4,8,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",35-44,male,"ของชิ้นเดียว ได้ราคาสองต่อ",617.32,5515,9108,230,251,3,187,1,8,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",55-64,male,"ของชิ้นเดียว ได้ราคาสองต่อ",589.81,6152,10656,218,201,3,156,,5,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",45-54,female,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้",578.66,3814,5267,231,2820,,374,1,8,5038,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",65+,female,"ของชิ้นเดียว ได้ราคาสองต่อ",530.41,7590,13301,204,198,2,165,,9,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",45-54,male,ลูกค้าตกใจกับราคา,526.84,3776,5809,173,3118,,234,8,4,5515,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",45-54,male,"Awareness - สาขางามวงศ์วาน",524.4,51280,72963,,84,,19,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",65+,female,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้",521.48,3134,4762,240,2867,3,311,14,11,4613,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",25-34,male,"ของชิ้นเดียว ได้ราคาสองต่อ",499.38,4609,7827,184,193,4,145,1,3,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",55-64,male,"Awareness - สาขางามวงศ์วาน",496.09,45925,69685,,68,,14,,1,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",35-44,male,ลูกค้าตกใจกับราคา,491.86,3609,5391,155,2379,,191,5,5,5070,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",65+,male,"ของชิ้นเดียว ได้ราคาสองต่อ",487.54,6246,11676,177,156,7,123,,10,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",55-64,male,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้",487.38,2915,4128,212,2398,,319,7,13,3987,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Post Promotion- VDO | 2026",45-54,male,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",482.03,3128,7368,,6725,,9,,,7313,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",35-44,female,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้",458.44,3132,4645,197,2111,2,307,8,10,4413,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",55-64,female,"ของชิ้นเดียว ได้ราคาสองต่อ",456.89,5663,9019,157,174,6,136,,7,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",35-44,female,ลูกค้าตกใจกับราคา,450.59,3243,4788,171,2514,,171,5,7,4503,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Post Promotion- VDO | 2026",55-64,female,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",439.01,2074,6233,,5971,,2,,,6186,,2026-07-01,2026-07-21
