"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays","Reporting starts","Reporting ends"
"2105 | MOD - GSM | Page Follower | May 2026",65+,female,"การันตี ราคาตามจริง",2717.34,26141,84944,486,316,8,281,,13,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",55-64,female,"การันตี ราคาตามจริง",2372.64,23810,70514,461,223,7,199,,9,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",65+,male,"การันตี ราคาตามจริง",2109.31,18514,67429,470,221,1,196,,18,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",55-64,male,"การันตี ราคาตามจริง",1969.4,18508,60216,393,150,3,130,2,11,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Engagement |  2026",25-34,male,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",1742.3,7642,11789,,706,,696,,1,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",25-34,male,"เมื่อลูกค้าต้องขายของที่รักที่สุ 19 - 30 June",1566.76,28567,50361,,16768,1,4605,6,5,48054,2026-06-01,2026-06-29
"2105 | MOD - GSM | Engagement |  2026",35-44,male,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",1562.51,8499,13048,,583,1,561,,5,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",25-34,male,"การันตี ราคาตามจริง",1522.84,10455,29769,300,125,1,109,,3,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",45-54,male,"การันตี ราคาตามจริง",1508.18,11623,36429,315,136,5,107,,8,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",35-44,male,"การันตี ราคาตามจริง",1505.53,9717,28350,285,123,2,109,,3,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",45-54,male,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",1444.79,71893,94599,,64573,,176,15,,93747,2026-06-01,2026-06-29
"2105 | MOD - GSM | Engagement |  2026",45-54,male,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",1428.21,8671,13170,,540,5,520,,1,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",45-54,female,"การันตี ราคาตามจริง",1422.59,12974,37007,274,101,,87,,8,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",35-44,male,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",1326.62,69999,88236,1,55520,2,183,10,,87449,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",45-54,female,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",1287.09,61683,79604,2,57906,3,229,19,,78751,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",25-34,female,"การันตี ราคาตามจริง",1127.18,9702,24258,223,105,,89,,2,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",35-44,female,"การันตี ราคาตามจริง",1071.36,8577,21963,178,104,3,87,,1,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",55-64,female,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",1059.17,50902,65085,,47899,,162,20,2,64326,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",35-44,male,"เมื่อลูกค้าต้องขายของที่รักที่สุ 19 - 30 June",1011.44,16187,30138,,9812,,2473,4,2,28487,2026-06-01,2026-06-29
"2105 | MOD - GSM | Engagement |  2026",55-64,male,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",996.76,4794,7325,,391,4,373,,9,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",45-54,male,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",927.66,58916,133809,,9587,,23,1,,118921,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",25-34,male,"เบื่อรอนานขั้นตอนเยอะ มาที่เฮียหลอมเลย! 12 - 30 June",886.56,14144,24022,,2275,,956,,1,22681,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",25-34,male,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",867.68,49083,58957,1,33919,1,105,8,,58406,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",55-64,male,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",833.61,39765,53667,,38229,,100,6,1,53128,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",35-44,female,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",819.64,40864,50963,1,35509,,129,9,,50440,2026-06-01,2026-06-29
"2105 | MOD - GSM | Engagement |  2026",45-54,female,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",813.86,5636,7182,,356,7,337,,6,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",55-64,male,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",804.58,51175,116784,,9752,,29,2,,106787,2026-06-01,2026-06-29
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",35-44,male,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",791.7,51898,113829,,6775,,28,,,98336,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",25-34,female,"เมื่อลูกค้าต้องขายของที่รักที่สุ 19 - 30 June",790.93,13397,23158,1,6694,,1947,5,1,21912,2026-06-01,2026-06-29
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",25-34,male,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",710.76,50013,102048,,5823,,24,2,,88823,2026-06-01,2026-06-29
"2105 | MOD - GSM | Engagement |  2026",25-34,female,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",694.61,3968,5379,,283,1,275,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Engagement |  2026",35-44,female,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",662.95,4729,6069,,271,2,262,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",45-54,male,"เมื่อลูกค้าต้องขายของที่รักที่สุ 19 - 30 June",586.25,8658,15714,,5137,,1068,3,,14643,2026-06-01,2026-06-29
"2105 | MOD - GSM | Engagement |  2026",55-64,female,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",576.85,3406,4509,,276,7,267,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Engagement |  2026",65+,male,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",572.29,2770,4243,,264,3,241,,9,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",65+,female,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",567.53,25024,34012,1,25156,,107,14,,33604,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",25-34,female,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",552.2,28590,34158,1,22947,,86,6,,33807,2026-06-01,2026-06-29
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",55-64,female,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",517.37,33773,75473,,6711,,39,3,1,70698,2026-06-01,2026-06-29
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",18-24,male,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",472.59,37994,68091,,2945,,16,,,61709,2026-06-01,2026-06-29
