"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays","Reporting starts","Reporting ends"
"2105 | MOD - GSM | Page Follower | May 2026",65+,female,"การันตี ราคาตามจริง",1726.04,15083,37104,313,225,8,170,,16,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",65+,male,"การันตี ราคาตามจริง",1328.56,11416,29457,253,164,4,121,2,13,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",55-64,female,"การันตี ราคาตามจริง",1302.65,11976,26583,255,135,4,108,,2,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",55-64,male,"การันตี ราคาตามจริง",1288.58,9801,24065,243,123,5,92,,13,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",25-34,male,"การันตี ราคาตามจริง",1137.74,5797,12476,172,125,,103,2,3,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",35-44,male,"การันตี ราคาตามจริง",1065.78,5240,11530,199,128,1,98,,7,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",35-44,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,941.32,5406,11802,168,105,,73,,4,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",55-64,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,930.12,9587,20939,171,119,7,89,1,2,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",45-54,male,"การันตี ราคาตามจริง",916.78,5818,12812,182,116,4,92,,7,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",55-64,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,907.55,8135,18977,183,107,4,78,1,4,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",65+,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,899.37,10328,23849,177,95,4,79,,1,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",25-34,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,885.35,4922,10944,153,104,1,76,2,2,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",45-54,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,881.55,6298,13723,148,103,6,63,3,4,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",25-34,female,"การันตี ราคาตามจริง",795.83,4578,9414,154,80,1,60,,3,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",45-54,female,"การันตี ราคาตามจริง",784.65,5664,12192,176,108,3,79,,2,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness | May 2026",55-64,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,781.89,40840,103296,1,93,,32,,,136,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",65+,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,766.23,8093,19919,130,80,1,72,,1,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",45-54,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,766.19,5798,12240,147,91,2,68,,1,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",35-44,female,"การันตี ราคาตามจริง",649.64,4159,8131,115,73,2,56,,5,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",35-44,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,616.2,4097,8254,128,71,,54,,2,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",25-34,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,614.49,3965,7997,121,84,,56,,3,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness | May 2026",45-54,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,608.22,37638,79659,,49,,17,,,94,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness | May 2026",55-64,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,494.21,28443,65405,,67,,34,,,49,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness | May 2026",65+,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,460.03,24173,60495,,63,,20,,,73,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",55-64,male,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",414.72,20486,50679,,4112,,20,2,,45932,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness | May 2026",35-44,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,399.76,28555,52371,,32,,8,,,84,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",45-54,male,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",379.79,20505,45886,,3341,,11,,,40065,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",45-54,male,"ร้อนเงินเป็นไฟ สี่-05",333.17,39413,50609,,17,,11,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness | May 2026",65+,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,330.51,18652,43559,,48,,29,,,47,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness | May 2026",25-34,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,304.25,21314,39353,,27,,12,,,109,2026-05-01,2026-05-31
