Region,"Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays","Reporting starts","Reporting ends"
"Chon Buri",2958.91738218,164984,204154,952,6617,7,911,12,16,,2026-08-01,2026-08-10
Bangkok,1664.87966894,12538,31876,744,5478,2,601,14,13,,2026-08-01,2026-08-10
"Nakhon Ratchasima",266.68186529,1855,5281,119,767,,84,2,1,,2026-08-01,2026-08-10
Rayong,160.08920382,1464,3734,75,599,1,73,,1,,2026-08-01,2026-08-10
"Khon Kaen",154.35314118,817,2241,59,349,,55,,,,2026-08-01,2026-08-10
"Udon Thani",120.56743189,857,2172,53,356,,43,1,1,,2026-08-01,2026-08-10
Chachoengsao,68.64255069,597,1660,29,253,,25,,,,2026-08-01,2026-08-10
"Sakon Nakhon",92.89818731,534,1155,38,249,,30,,1,,2026-08-01,2026-08-10
Chanthaburi,57.31057353,443,1073,29,204,,23,,1,,2026-08-01,2026-08-10
"Maha Sarakham",57.38064759,386,911,20,128,,11,,,,2026-08-01,2026-08-10
Kalasin,46.68934759,366,838,21,152,1,20,,1,,2026-08-01,2026-08-10
Unknown,0,1,1,,,,,,,,2026-08-01,2026-08-10
