Region,"Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays","Reporting starts","Reporting ends"
"Chon Buri",25236.4096831,605449,937748,5586,62842,55,6611,128,215,,2026-07-01,2026-07-31
Bangkok,31207.79580649,372531,903035,4781,108956,61,5720,184,177,,2026-07-01,2026-07-31
Nonthaburi,6168.5410429,564114,802735,,806,1,203,1,2,,2026-07-01,2026-07-31
"Nakhon Ratchasima",1852.47226365,18772,35431,442,6099,2,557,15,17,,2026-07-01,2026-07-31
Rayong,1550.93003409,17458,30406,375,5880,4,459,8,10,,2026-07-01,2026-07-31
"Samut Prakan",1322.21592783,11395,19947,1,183,1,68,3,,,2026-07-01,2026-07-31
"Udon Thani",1011.27394049,11047,19887,237,3183,2,278,6,8,,2026-07-01,2026-07-31
"Khon Kaen",1027.04353412,10478,19666,246,3333,3,300,11,10,,2026-07-01,2026-07-31
"Sakon Nakhon",675.32259762,7863,14026,151,1922,3,183,3,4,,2026-07-01,2026-07-31
Chachoengsao,616.39411614,5893,11544,171,2261,1,210,4,2,,2026-07-01,2026-07-31
Chanthaburi,617.82407929,6179,11538,165,2308,,197,2,6,,2026-07-01,2026-07-31
"Maha Sarakham",463.52805535,4919,8852,104,1329,8,109,3,10,,2026-07-01,2026-07-31
Kalasin,410.0394337,4627,8174,102,1177,2,112,1,4,,2026-07-01,2026-07-31
"Pathum Thani",198.25489117,1707,2726,,38,,9,,,,2026-07-01,2026-07-31
"Nakhon Pathom",209.07461236,1556,2631,1,40,,12,,,,2026-07-01,2026-07-31
Unknown,0.67998248,3,19,,1,,,,,,2026-07-01,2026-07-31
"Samut Sakhon",0.02999923,2,2,,,,,,,,2026-07-01,2026-07-31
