Region,"Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays","Reporting starts","Reporting ends"
"Chon Buri",13933.21503432,543752,958147,1439,25315,20,975,13,38,,2026-05-01,2026-05-31
Bangkok,9831.8316131,167525,364334,1494,1073,22,715,7,38,,2026-05-01,2026-05-31
"Nakhon Ratchasima",1166.95072391,21491,49524,161,134,2,87,,5,,2026-05-01,2026-05-31
Rayong,820.7927111,18472,37086,128,86,2,52,,5,,2026-05-01,2026-05-31
"Udon Thani",682.00548911,14364,30743,108,90,3,64,,3,,2026-05-01,2026-05-31
"Sakon Nakhon",612.58187655,12373,27806,79,65,3,40,,5,,2026-05-01,2026-05-31
"Khon Kaen",723.77766278,12734,27669,119,105,4,69,,4,,2026-05-01,2026-05-31
Kalasin,411.1313938,7061,16224,58,40,1,28,,2,,2026-05-01,2026-05-31
"Maha Sarakham",345.94800189,7388,16192,61,44,1,31,,2,,2026-05-01,2026-05-31
Chanthaburi,242.45261636,5874,11806,46,27,,18,,2,,2026-05-01,2026-05-31
Chachoengsao,247.45287656,4780,9671,36,30,,21,,,,2026-05-01,2026-05-31
Unknown,0.01000052,2,2,,,,,,,,2026-05-01,2026-05-31
